ID de respuesta,Dirección IP,Agente Usuario,Estado de respuesta,URL de la encuesta a la que accede el encuestado,Start time,Hora de finalización,Tiempo empleado,Recopilador,Net Promoter Score (de un total de 10),CSAT Score,¿Qué carrera profesional estudias?,¿Qué ciclo es el que cursas?; considera el ciclo donde más cursos llevas,El perfil de egreso de tu carrera,La correspondencia entre el perfil de egreso y el plan curricular de tu carrera,Los cursos y contenidos de tu carrera,La calidad del servicio de enseñanza en tu carrera,"La claridad, precisión y actualización de los materiales de estudio de tu carrera",La evaluación del aprendizaje en tu carrera,El proceso de intercambio estudiantil,Información sobre tu récord académico,El material bibliográfico físico o digital disponible en la biblioteca,El servicio recibido por el personal administrativo de tu carrera,Los procedimientos de los servicios administrativos de tu carrera,El servicio social: ayuda financiera,El servicio médico y su infraestructura,El servicio de atención psicopedagógica,Los talleres de actividades artísticas y culturales,Las actividades deportivas,Las aulas de clase,Los ambientes y salas para estudio,"Los laboratorios en lo referido a equipamiento, tecnología y programas","Los laboratorios en lo referido a iluminación, ventilación, facilidad de ubicación y señalización de seguridad",El software especializado empleado en la carrera,El portal web de la universidad: Mi Ulima,El aula virtual (Blackboard) y las herramientas de videoconferencia (Zoom),"La conexión Wi-Fi del campus para acceder a los recursos institucionales como Mi Ulima, Blackboard, Zoom, correo institucional y biblioteca virtual",El soporte técnico brindado ante las fallas del sistema informático,"Empleabilidad, vinculación profesional y ALUMNI",La calidad de la formación académica,Tu carrera,La Universidad de Lima,"En una escala del 0 al 10, donde 0 significa ‘Definitivamente no la recomendaría’ y 10 ‘Definitivamente sí la recomendaría’¿Qué tan probable es que recomiendes la Universidad de Lima a un familiar o amigo como institución para estudiar una carrera profesional?","Explica con tus palabras, las razones de la calificación que diste en la pregunta anterior. (máx. 100 caracteres)"
t1DzKOt4,,,,,22/10/2025 13:17,22/10/2025 13:19,,,10,,Comunicación,7° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
sCMxLblv,,,,,31/10/2025 10:09,31/10/2025 10:10,,,10,,Derecho,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,Satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
V8EkdQDX,,,,,21/10/2025 07:52,21/10/2025 07:54,,,10,,Marketing,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
lJD9gv0Z,,,,,24/10/2025 08:26,24/10/2025 08:29,,,10,,Economía,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
MqD95JqU,,,,,27/10/2025 12:10,27/10/2025 12:12,,,10,,Marketing,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
f4B1QnU1,,,,,21/10/2025 07:51,21/10/2025 07:54,,,10,,Marketing,9° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No conozco,Muy satisfecho,Totalmente satisfecho,Insatisfecho,,No conozco,Satisfecho,Insatisfecho,No conozco,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No Utilizo,Totalmente satisfecho,,,,Totalmente satisfecho,,
fgf8NPkL,,,,,10/11/2025 09:54,10/11/2025 10:04,,,10,,Ingeniería Industrial,9° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,No utilizo,Muy satisfecho,No utilizo,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
5LaAgbXj,,,,,18/11/2025 18:30,18/11/2025 18:32,,,10,,Administración,9° Ciclo,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Satisfecho,No utilizo,,No utilizo,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
s6fIaf1a,,,,,12/11/2025 07:00,12/11/2025 07:04,,,10,,Derecho,10° Ciclo,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
ASD9dBGh,,,,,30/10/2025 20:56,30/10/2025 21:00,,,10,,Negocios Internacionales,10° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
1f4uILyh,,,,,07/11/2025 09:08,07/11/2025 09:10,,,10,,Derecho,11° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,No utilizo,No utilizo,No utilizo,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
jODtOfCX,,,,,23/10/2025 20:40,23/10/2025 20:43,,,10,,Derecho,12° Ciclo,Totalmente satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,No utilizo,Totalmente satisfecho,No utilizo,No utilizo,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,,
E7B1rwVA,,,,,13/11/2025 15:05,13/11/2025 15:08,,,10,,Ingeniería de Sistemas,1° Ciclo,,,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,Totalmente satisfecho,No utilizo,No conozco,No conozco,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,,,,Totalmente satisfecho,,
pCD93jgo,,,,,13/11/2025 15:05,13/11/2025 15:09,,,10,,Ingeniería Industrial,1° Ciclo,,,Satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,,,,Totalmente satisfecho,,
Ho4djKEi,,,,,23/10/2025 10:23,23/10/2025 10:25,,,10,,Economía,2° Ciclo,,,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,No conozco,,,,Totalmente satisfecho,,
NaMOwMx1,,,,,23/10/2025 10:25,23/10/2025 10:28,,,10,,Ingeniería Industrial,2° Ciclo,,,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,No conozco,No conozco,No conozco,No conozco,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,,,Totalmente satisfecho,,
UBab29Y8,,,,,28/10/2025 09:37,28/10/2025 09:41,,,10,,Ingeniería Industrial,2° Ciclo,,,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
mV4zcix7,,,,,20/11/2025 18:49,20/11/2025 18:52,,,10,,Comunicación,2° Ciclo,,,Satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Satisfecho,Muy satisfecho,Muy satisfecho,,,Totalmente satisfecho,No utilizo,No utilizo,No conozco,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Totalmente insatisfecho,,,,Totalmente satisfecho,,
fYDvZGnz,,,,,25/11/2025 17:24,25/11/2025 17:26,,,10,,Arquitectura,2° Ciclo,,,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,,Muy satisfecho,No utilizo,Muy satisfecho,,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,,,Totalmente satisfecho,,
yIDtEZlw,,,,,21/10/2025 20:13,21/10/2025 20:15,,,10,,Administración,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,,,Totalmente satisfecho,,
etDtS7N4,,,,,24/10/2025 17:14,24/10/2025 17:17,,,10,,Arquitectura,3° Ciclo,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
imafL4om,,,,,27/10/2025 16:14,27/10/2025 16:16,,,10,,Ingeniería Industrial,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,No utilizo,Totalmente satisfecho,Totalmente satisfecho,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,,,Totalmente satisfecho,,
cVf8dSvq,,,,,29/10/2025 11:49,29/10/2025 11:51,,,10,,Ingeniería Civil,3° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,,,,Totalmente satisfecho,,
EfCIq2bD,,,,,22/10/2025 18:29,22/10/2025 18:31,,,10,,Derecho,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,No conozco,Totalmente satisfecho,No conozco,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Insatisfecho,,,,Totalmente satisfecho,,
EPfbnleN,,,,,31/10/2025 16:59,31/10/2025 17:02,,,10,,Derecho,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
MGCILPjO,,,,,29/10/2025 14:50,29/10/2025 14:53,,,10,,Ingeniería de Sistemas,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,,,Totalmente satisfecho,,
tmDtGEUC,,,,,30/10/2025 16:06,30/10/2025 16:08,,,10,,Negocios Internacionales,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No conozco,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Satisfecho,,,,Totalmente satisfecho,,
TrDAfYod,,,,,03/11/2025 21:23,03/11/2025 21:28,,,10,,Ingeniería de Sistemas,4° Ciclo,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No conozco,Totalmente satisfecho,No utilizo,Totalmente satisfecho,,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,,,Totalmente satisfecho,,
lzDtNDIA,,,,,06/11/2025 10:13,06/11/2025 10:16,,,10,,Negocios Internacionales,4° Ciclo,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Satisfecho,Totalmente satisfecho,,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,,,,Totalmente satisfecho,,
QXEB83GE,,,,,08/11/2025 08:54,08/11/2025 08:57,,,10,,Negocios Internacionales,4° Ciclo,Totalmente satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
pkB1Ungz,,,,,15/11/2025 08:26,15/11/2025 08:29,,,10,,Negocios Internacionales,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No conozco,,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No conozco,,,,Totalmente satisfecho,,
EBCIvUXu,,,,,20/11/2025 15:26,20/11/2025 15:28,,,10,,Administración,4° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,,,,Totalmente satisfecho,,
KFMNiLtm,,,,,31/10/2025 16:59,31/10/2025 17:02,,,10,,Derecho,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,No utilizo,Totalmente satisfecho,No utilizo,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,No conozco,,,,Totalmente satisfecho,,
HKD90E3p,,,,,20/10/2025 10:03,20/10/2025 10:05,,,10,,Ingeniería Civil,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
Olaaj7Se,,,,,23/10/2025 15:05,23/10/2025 15:08,,,10,,Negocios Internacionales,5° Ciclo,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No conozco,,No conozco,No conozco,No conozco,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
J6CKIPx6,,,,,25/11/2025 18:14,25/11/2025 18:18,,,10,,Ingeniería Industrial,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente insatisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,No utilizo,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,,,Totalmente satisfecho,,
FgD9uksN,,,,,11/11/2025 17:55,11/11/2025 17:59,,,10,,Administración,6° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,No utilizo,Totalmente satisfecho,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,,,,Totalmente satisfecho,,
ooDvAJ4b,,,,,27/11/2025 15:45,27/11/2025 15:47,,,10,,Negocios Internacionales,6° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Insatisfecho,,,,Totalmente satisfecho,,
UHDzNhf8,,,,,23/10/2025 12:19,23/10/2025 12:22,,,10,,Comunicación,7° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No conozco,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,,No conozco,Totalmente satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,,,,Totalmente satisfecho,,
qECIEx1s,,,,,27/10/2025 12:09,27/10/2025 12:12,,,10,,Marketing,7° Ciclo,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,No conozco,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
SwM1fKA5,,,,,08/11/2025 09:53,08/11/2025 09:55,,,10,,Ingeniería Industrial,7° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente insatisfecho,Totalmente satisfecho,Insatisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Satisfecho,,,,Totalmente satisfecho,,
ipDt1eXA,,,,,11/11/2025 09:43,11/11/2025 09:45,,,10,,Administración,7° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No conozco,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,,No conozco,No conozco,No conozco,No conozco,No conozco,Totalmente satisfecho,Totalmente satisfecho,No utilizo,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,No conozco,,,,Totalmente satisfecho,,
exD5MQIR,,,,,21/10/2025 07:52,21/10/2025 07:56,,,10,,Marketing,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
mfC91Rpf,,,,,25/11/2025 17:46,25/11/2025 17:49,,,10,,Administración,8° Ciclo,Satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Satisfecho,Muy satisfecho,Muy satisfecho,,Satisfecho,Totalmente satisfecho,Insatisfecho,Muy satisfecho,No conozco,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,No utilizo,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
LkDAcIOZ,,,,,29/10/2025 08:04,29/10/2025 08:07,,,10,,Ingeniería Industrial,9° Ciclo,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,No utilizo,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,,,Totalmente satisfecho,,
