ID de respuesta,Dirección IP,Agente Usuario,Estado de respuesta,URL de la encuesta a la que accede el encuestado,Start time,Hora de finalización,Tiempo empleado,Recopilador,Net Promoter Score (de un total de 10),CSAT Score,¿Qué carrera profesional estudias?,¿Qué ciclo es el que cursas?; considera el ciclo donde más cursos llevas,El perfil de egreso de tu carrera,La correspondencia entre el perfil de egreso y el plan curricular de tu carrera,Los cursos y contenidos de tu carrera,La calidad del servicio de enseñanza en tu carrera,"La claridad, precisión y actualización de los materiales de estudio de tu carrera",La evaluación del aprendizaje en tu carrera,El proceso de intercambio estudiantil,La información sobre tu récord académico,El material bibliográfico físico o digital disponible en la biblioteca,El servicio recibido por el personal administrativo de tu carrera,Los procedimientos de los servicios administrativos de tu carrera,El servicio social: ayuda financiera,El servicio médico y su infraestructura,El servicio de atención psicopedagógica,Los talleres de actividades artísticas y culturales,Las actividades deportivas,Las aulas de clase,Los ambientes y salas para estudio,"Los laboratorios en lo referido a equipamiento, tecnología y programas","Los laboratorios en lo referido a iluminación, ventilación, facilidad de ubicación y señalización de seguridad",El software especializado empleado en la carrera,El portal web de la universidad: Mi Ulima,El aula virtual (Blackboard) y las herramientas de videoconferencia (Zoom),"La conexión Wi-Fi del campus para acceder a los recursos institucionales como Mi Ulima, Blackboard, Zoom, correo institucional y biblioteca virtual",El soporte técnico brindado ante las fallas del sistema informático,"Empleabilidad, vinculación profesional y ALUMNI",La calidad de la formación académica,Tu carrera,La Universidad de Lima,"En una escala del 0 al 10, donde 0 significa ‘Definitivamente no la recomendaría’ y 10 ‘Definitivamente sí la recomendaría’¿Qué tan probable es que recomiendes la Universidad de Lima a un familiar o amigo como institución para estudiar una carrera profesional?","Explica con tus palabras, las razones de la calificación que diste en la pregunta anterior. (máx. 100 caracteres)"
MYC20A2O,,,COMPLETED,,"may. 12, 2026 05:04:50 p. m.","may. 12, 2026 05:08:44 p. m.",3 mins 54 secs ,Public collector,10,100,Psicología,5° Ciclo,Satisfecho,Totalmente insatisfecho,Totalmente insatisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,No conozco,Insatisfecho,Satisfecho,Satisfecho,Satisfecho,No conozco,Totalmente satisfecho,Satisfecho,Satisfecho,No conozco,Satisfecho,Muy satisfecho,Insatisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,No conozco,,Insatisfecho,Insatisfecho,Totalmente satisfecho,10 (Promoter),
1ejmHSjO,,,COMPLETED,,"may. 12, 2026 05:04:50 p. m.","may. 12, 2026 05:13:07 p. m.",8 mins 16 secs ,Public collector,8,0,Psicología,7° Ciclo,Totalmente satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,No conozco,Muy satisfecho,No conozco,No utilizo,Satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Totalmente satisfecho,Muy satisfecho,8 (Passive),Encuentro oportunidades de mejora
oUCZH5TB,,,COMPLETED,,"may. 12, 2026 05:04:51 p. m.","may. 12, 2026 05:09:24 p. m.",4 mins 32 secs ,Public collector,6,0,Psicología,6° Ciclo,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Satisfecho,Insatisfecho,Insatisfecho,Insatisfecho,Satisfecho,Insatisfecho,Insatisfecho,Insatisfecho,Satisfecho,No utilizo,Muy satisfecho,Insatisfecho,Satisfecho,No utilizo,,Insatisfecho,Insatisfecho,Satisfecho,Satisfecho,Totalmente insatisfecho,,Muy satisfecho,Satisfecho,Satisfecho,6 (Detractor),Psicología tiene las aulas más viejas y desactualizadas de toda la universidad. Deberían empezar a demoler esos edificios viejos…
H1C5FaYq,,,COMPLETED,,"may. 12, 2026 05:04:51 p. m.","may. 12, 2026 05:07:37 p. m.",2 mins 45 secs ,Public collector,10,100,Psicología,6° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
7bDFIxlE,,,COMPLETED,,"may. 12, 2026 05:04:51 p. m.","may. 12, 2026 05:08:57 p. m.",4 mins 5 secs ,Public collector,9,100,Psicología,6° Ciclo,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Insatisfecho,Insatisfecho,Totalmente insatisfecho,Insatisfecho,No utilizo,Insatisfecho,Satisfecho,Totalmente insatisfecho,Satisfecho,No utilizo,Muy satisfecho,No utilizo,Satisfecho,Satisfecho,Totalmente insatisfecho,Satisfecho,No conozco,Satisfecho,Satisfecho,Satisfecho,Satisfecho,,Satisfecho,Insatisfecho,Satisfecho,9 (Promoter),
cUCZ1pWI,,,COMPLETED,,"may. 12, 2026 05:04:53 p. m.","may. 12, 2026 05:08:43 p. m.",3 mins 49 secs ,Public collector,9,100,Psicología,6° Ciclo,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,No conozco,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,9 (Promoter),
dpDBXoAr,,,COMPLETED,,"may. 12, 2026 05:04:54 p. m.","may. 12, 2026 05:06:48 p. m.",1 min 54 secs ,Public collector,10,100,Psicología,5° Ciclo,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,10 (Promoter),
azjocQQs,,,COMPLETED,,"may. 12, 2026 05:04:55 p. m.","may. 12, 2026 05:08:45 p. m.",3 mins 50 secs ,Public collector,10,100,Psicología,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
OBDBaWLU,,,COMPLETED,,"may. 12, 2026 05:04:55 p. m.","may. 12, 2026 05:08:06 p. m.",3 mins 11 secs ,Public collector,10,100,Psicología,6° Ciclo,Totalmente satisfecho,Muy satisfecho,Insatisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,No conozco,No conozco,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Muy satisfecho,Insatisfecho,Totalmente satisfecho,,Muy satisfecho,Muy satisfecho,Muy satisfecho,10 (Promoter),
QstZzY5W,,,COMPLETED,,"may. 12, 2026 05:04:58 p. m.","may. 12, 2026 05:12:53 p. m.",7 mins 55 secs ,Public collector,10,100,Psicología,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,Satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
7pjBd77M,,,COMPLETED,,"may. 12, 2026 05:04:59 p. m.","may. 12, 2026 05:08:51 p. m.",3 mins 51 secs ,Public collector,9,100,Psicología,6° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,No utilizo,No utilizo,No utilizo,Muy satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,,Muy satisfecho,Muy satisfecho,Muy satisfecho,9 (Promoter),
kfCZQYf2,,,COMPLETED,,"may. 12, 2026 05:04:59 p. m.","may. 12, 2026 05:09:04 p. m.",4 mins 4 secs ,Public collector,10,100,Psicología,6° Ciclo,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Muy satisfecho,No utilizo,Satisfecho,Muy satisfecho,No conozco,Totalmente satisfecho,Totalmente satisfecho,No conozco,No utilizo,Totalmente satisfecho,Muy satisfecho,No utilizo,,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
Ugt2VmOS,,,COMPLETED,,"may. 12, 2026 05:05:01 p. m.","may. 12, 2026 05:08:43 p. m.",3 mins 41 secs ,Public collector,10,100,Psicología,5° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,No utilizo,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
cIBBt2ie,,,COMPLETED,,"may. 12, 2026 05:05:04 p. m.","may. 12, 2026 05:11:44 p. m.",6 mins 39 secs ,Public collector,10,100,Psicología,6° Ciclo,Satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,No utilizo,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,No utilizo,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
QHC56pfX,,,COMPLETED,,"may. 12, 2026 05:05:05 p. m.","may. 12, 2026 05:08:52 p. m.",3 mins 46 secs ,Public collector,9,100,Psicología,6° Ciclo,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,No conozco,Satisfecho,No utilizo,No utilizo,No utilizo,No utilizo,No utilizo,No utilizo,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Muy satisfecho,Satisfecho,,Satisfecho,Insatisfecho,Muy satisfecho,9 (Promoter),
b9C2N493,,,COMPLETED,,"may. 12, 2026 05:05:09 p. m.","may. 12, 2026 05:09:13 p. m.",4 mins 3 secs ,Public collector,10,100,Psicología,5° Ciclo,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Insatisfecho,Satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,10 (Promoter),
tWBhCA7J,,,COMPLETED,,"may. 12, 2026 05:05:11 p. m.","may. 12, 2026 05:08:35 p. m.",3 mins 23 secs ,Public collector,8,0,Psicología,5° Ciclo,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Insatisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,No conozco,No utilizo,No utilizo,No utilizo,Totalmente satisfecho,Satisfecho,Muy satisfecho,Insatisfecho,Satisfecho,No utilizo,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,8 (Passive),"Siento que la carrera de psicología se deja de lado, ya no se dispone de los cerebros ni de un laboratorio de psico biología"
W6C2n9yj,,,COMPLETED,,"may. 12, 2026 05:05:17 p. m.","may. 12, 2026 05:10:02 p. m.",4 mins 44 secs ,Public collector,9,100,Psicología,5° Ciclo,Muy satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,No utilizo,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,No conozco,Muy satisfecho,No utilizo,Satisfecho,Insatisfecho,Totalmente satisfecho,Satisfecho,No utilizo,,Muy satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,9 (Promoter),
K4BRkLkc,,,COMPLETED,,"may. 12, 2026 05:05:23 p. m.","may. 12, 2026 05:09:07 p. m.",3 mins 44 secs ,Public collector,6,0,Psicología,6° Ciclo,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Insatisfecho,No utilizo,Satisfecho,Insatisfecho,Satisfecho,Insatisfecho,No utilizo,Satisfecho,Muy satisfecho,No utilizo,Muy satisfecho,Muy satisfecho,Satisfecho,No conozco,,No conozco,Muy satisfecho,Muy satisfecho,Totalmente insatisfecho,Totalmente insatisfecho,,Satisfecho,Satisfecho,Satisfecho,6 (Detractor),Considero que puede haber mejores opciones
jDC2fgZL,,,COMPLETED,,"may. 12, 2026 05:05:39 p. m.","may. 12, 2026 05:09:10 p. m.",3 mins 31 secs ,Public collector,9,100,Psicología,7° Ciclo,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,9 (Promoter),
ElCZMl11,,,COMPLETED,,"may. 12, 2026 05:05:43 p. m.","may. 12, 2026 05:10:21 p. m.",4 mins 37 secs ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,Satisfecho,No utilizo,Totalmente satisfecho,No utilizo,No utilizo,Satisfecho,Muy satisfecho,Muy satisfecho,,,,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,10 (Promoter),
ATBRvOXT,,,COMPLETED,,"may. 12, 2026 05:05:58 p. m.","may. 12, 2026 05:08:50 p. m.",2 mins 51 secs ,Public collector,9,100,Derecho,9° Ciclo,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,,,,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,9 (Promoter),
ynjfwrzp,,,COMPLETED,,"may. 12, 2026 05:05:59 p. m.","may. 12, 2026 05:09:03 p. m.",3 mins 3 secs ,Public collector,10,100,Derecho,9° Ciclo,Muy satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
W0Bhq6Z4,,,COMPLETED,,"may. 12, 2026 05:06:00 p. m.","may. 12, 2026 05:09:55 p. m.",3 mins 54 secs ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Insatisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
h4BhXR8y,,,COMPLETED,,"may. 12, 2026 05:06:02 p. m.","may. 12, 2026 05:10:33 p. m.",4 mins 31 secs ,Public collector,7,0,Derecho,8° Ciclo,Insatisfecho,Insatisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,Insatisfecho,Insatisfecho,Satisfecho,Satisfecho,Totalmente insatisfecho,Totalmente insatisfecho,Totalmente insatisfecho,Satisfecho,Satisfecho,,,,Totalmente insatisfecho,Insatisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,7 (Passive),"no me parece que todos los profes te dejen buena base, no es posible llegar a octavo ciclo y la gente no tenga base de lo mínimo del derecho. mejoren sus profes y su nivel de exigencia si quieren buenos profesionales"
04C2wTtX,,,COMPLETED,,"may. 12, 2026 05:06:06 p. m.","may. 12, 2026 05:09:10 p. m.",3 mins 4 secs ,Public collector,9,100,Derecho,8° Ciclo,Satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,9 (Promoter),
ClCZXwZu,,,COMPLETED,,"may. 12, 2026 05:06:07 p. m.","may. 12, 2026 05:08:07 p. m.",2 mins ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
88C2EbMB,,,COMPLETED,,"may. 12, 2026 05:06:10 p. m.","may. 12, 2026 05:08:31 p. m.",2 mins 20 secs ,Public collector,10,100,Derecho,10° Ciclo,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Muy satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
WdzPEJGw,,,COMPLETED,,"may. 12, 2026 05:06:13 p. m.","may. 12, 2026 05:11:47 p. m.",5 mins 34 secs ,Public collector,8,0,Derecho,8° Ciclo,Satisfecho,Satisfecho,Insatisfecho,Muy satisfecho,Satisfecho,Satisfecho,No conozco,Muy satisfecho,Satisfecho,Satisfecho,No utilizo,No utilizo,Insatisfecho,Totalmente insatisfecho,Totalmente insatisfecho,Insatisfecho,Satisfecho,Insatisfecho,,,,Insatisfecho,Muy satisfecho,Insatisfecho,No utilizo,No utilizo,Satisfecho,Insatisfecho,Satisfecho,8 (Passive),"Pocas especializaciones para mi carrera y no hay apoyo para realizar los talleres artisticos, son pocos y personalmente el de danzas andinas no muestra apoyo con el alumno."
kyBBnGli,,,COMPLETED,,"may. 12, 2026 05:06:14 p. m.","may. 12, 2026 05:07:41 p. m.",1 min 26 secs ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
wgDBHLXF,,,COMPLETED,,"may. 12, 2026 05:06:14 p. m.","may. 12, 2026 05:09:22 p. m.",3 mins 7 secs ,Public collector,10,100,Derecho,8° Ciclo,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Insatisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,10 (Promoter),
FZBBbHZH,,,COMPLETED,,"may. 12, 2026 05:06:21 p. m.","may. 12, 2026 05:09:09 p. m.",2 mins 47 secs ,Public collector,9,100,Derecho,8° Ciclo,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,No utilizo,Muy satisfecho,No utilizo,Satisfecho,Satisfecho,No utilizo,Totalmente satisfecho,No utilizo,No utilizo,Muy satisfecho,Satisfecho,Totalmente satisfecho,,,,Muy satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Muy satisfecho,9 (Promoter),
DxDBRg59,,,COMPLETED,,"may. 12, 2026 05:06:40 p. m.","may. 12, 2026 05:09:32 p. m.",2 mins 51 secs ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,No conozco,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,No utilizo,No utilizo,Muy satisfecho,Totalmente satisfecho,,,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,No utilizo,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
vLCZaMIC,,,COMPLETED,,"may. 12, 2026 05:06:54 p. m.","may. 12, 2026 05:10:54 p. m.",3 mins 59 secs ,Public collector,10,100,Derecho,8° Ciclo,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,No utilizo,Muy satisfecho,No utilizo,Satisfecho,Satisfecho,No utilizo,No utilizo,No utilizo,No utilizo,No utilizo,Muy satisfecho,Totalmente satisfecho,,,,Muy satisfecho,Muy satisfecho,Totalmente satisfecho,Satisfecho,Satisfecho,Muy satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
6UCZl2zU,,,COMPLETED,,"may. 12, 2026 05:06:59 p. m.","may. 12, 2026 05:18:50 p. m.",11 mins 50 secs ,Public collector,8,0,Derecho,9° Ciclo,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,No conozco,Satisfecho,No conozco,No conozco,Muy satisfecho,Muy satisfecho,Muy satisfecho,,,,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,Insatisfecho,Satisfecho,Satisfecho,8 (Passive),Por lo que se paga deberia ser más personalizado
N9CZJ39t,,,COMPLETED,,"may. 12, 2026 05:07:23 p. m.","may. 12, 2026 05:09:12 p. m.",1 min 49 secs ,Public collector,10,100,Derecho,8° Ciclo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,No utilizo,Totalmente satisfecho,No utilizo,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,,,,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,Totalmente satisfecho,10 (Promoter),
FUC5Dx0R,,,COMPLETED,,"may. 12, 2026 05:10:14 p. m.","may. 12, 2026 05:13:15 p. m.",3 mins ,Public collector,9,100,Derecho,8° Ciclo,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,No utilizo,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,No conozco,Satisfecho,No utilizo,No utilizo,Satisfecho,Satisfecho,Satisfecho,,,,Satisfecho,Satisfecho,Satisfecho,Satisfecho,No utilizo,Satisfecho,Satisfecho,Satisfecho,9 (Promoter),
